ProductKey,ProductCode,ProductSubCategory,ProductName,StandardCost,Color,ProductCategory
220,HL-U509-B,Helmets,"Sport-100 Helmet, Blue",12.0278,Blue,PC-Accessories
440,FR-R92B-44,Road Frames,"HL Road Frame - Black, 44",868.6342,Black,PC-Components
270,FR-R38R-60,Road Frames,"LL Road Frame - Red, 60",181.4857,Red,PC-Components
596,BK-M18B-40,Mountain Bikes,"Mountain-500 Black, 40",294.5797,Black,PC-Bikes
214,HL-U509-R,Helmets,"Sport-100 Helmet, Red",13.0863,Red,PC-Accessories
375,BK-R89B-48,Road Bikes,"Road-250 Black, 48",1320.6838,Black,PC-Bikes
309,FR-M94S-38,Mountain Frames,"HL Mountain Frame - Silver, 38",747.2002,Silver,PC-Components
601,BB-7421,Bottom Brackets,LL Bottom Bracket,23.9716,NA,PC-Components
326,BK-R50R-44,Road Bikes,"Road-650 Red, 44",413.1463,Red,PC-Bikes
415,FW-R820,Wheels,HL Road Front Wheel,146.5466,Black,PC-Components
482,SO-R809-L,Socks,"Racing Socks, L",3.3623,White,PC-Clothing
515,SE-M236,Saddles,LL Mountain Seat/Saddle,12.0413,NA,PC-Components
580,BK-R79Y-40,Road Bikes,"Road-350-W Yellow, 40",1082.5100,Yellow,PC-Bikes
284,FR-R38B-48,Road Frames,"LL Road Frame - Black, 48",204.6251,Black,PC-Components
390,BK-R64Y-48,Road Bikes,"Road-550-W Yellow, 48",713.0798,Yellow,PC-Bikes
413,FW-R623,Wheels,LL Road Front Wheel,37.9909,Black,PC-Components
288,FR-M94S-42,Mountain Frames,"HL Mountain Frame - Silver, 42",623.8403,Silver,PC-Components
321,BK-R50R-58,Road Bikes,"Road-650 Red, 58",486.7066,Red,PC-Bikes
503,FR-T67U-54,Touring Frames,"LL Touring Frame - Blue, 54",199.8519,Blue,PC-Components
539,TI-R628,Tires And Tubes,ML Road Tire,9.3463,NA,PC-Accessories
534,FR-M21B-52,Mountain Frames,"LL Mountain Frame - Black, 52",136.7850,Black,PC-Components
305,FR-M94B-38,Mountain Frames,"HL Mountain Frame - Black, 38",653.6971,Black,PC-Components
330,BK-R50R-52,Road Bikes,"Road-650 Red, 52",413.1463,Red,PC-Bikes
387,BK-R64Y-44,Road Bikes,"Road-550-W Yellow, 44",605.6492,Yellow,PC-Bikes
382,BK-R64Y-38,Road Bikes,"Road-550-W Yellow, 38",713.0798,Yellow,PC-Bikes
249,FR-R92R-52,Road Frames,"HL Road Frame - Red, 52",868.6342,Red,PC-Components
315,BK-R68R-58,Road Bikes,"Road-450 Red, 58",884.7083,Red,PC-Bikes
408,HB-R956,Handlebars,HL Road Handlebars,53.3999,NA,PC-Components
218,SO-B909-M,Socks,"Mountain Bike Socks, M",3.3963,White,PC-Clothing
223,CA-1098,Caps,AWC Logo Cap,5.7052,Multi,PC-Clothing
323,BK-R50R-60,Road Bikes,"Road-650 Red, 60",486.7066,Red,PC-Bikes
250,FR-R92R-56,Road Frames,"HL Road Frame - Red, 56",747.9682,Red,PC-Components
257,FR-R38B-60,Road Frames,"LL Road Frame - Black, 60",170.1428,Black,PC-Components
339,BK-R50B-44,Road Bikes,"Road-650 Black, 44",486.7066,Black,PC-Bikes
432,FR-R72Y-42,Road Frames,"ML Road Frame-W - Yellow, 42",360.9428,Yellow,PC-Components
224,CA-1098,Caps,AWC Logo Cap,5.2297,Multi,PC-Clothing
262,FR-R38R-44,Road Frames,"LL Road Frame - Red, 44",181.4857,Red,PC-Components
334,BK-R50B-60,Road Bikes,"Road-650 Black, 60",413.1463,Black,PC-Bikes
441,FR-R92B-48,Road Frames,"HL Road Frame - Black, 48",722.2568,Black,PC-Components
254,FR-R38B-58,Road Frames,"LL Road Frame - Black, 58",170.1428,Black,PC-Components
502,FR-T67U-50,Touring Frames,"LL Touring Frame - Blue, 50",199.8519,Blue,PC-Components
572,BK-T18Y-62,Touring Bikes,"Touring-3000 Yellow, 62",461.4448,Yellow,PC-Bikes
401,HB-M918,Handlebars,HL Mountain Handlebars,48.5453,NA,PC-Components
460,SB-M891-M,Bib-shorts,"Men's Bib-Shorts, M",37.1209,Multi,PC-Clothing
462,GL-H102-S,Gloves,"Half-Finger Gloves, S",9.7136,Black,PC-Clothing
459,SB-M891-S,Bib-shorts,"Men's Bib-Shorts, S",37.1209,Multi,PC-Clothing
471,VE-C304-S,Vests,"Classic Vest, S",23.7490,Blue,PC-Clothing
319,BK-R68R-52,Road Bikes,"Road-450 Red, 52",884.7083,Red,PC-Bikes
438,FR-R92B-62,Road Frames,"HL Road Frame - Black, 62",868.6342,Black,PC-Components
545,PD-R347,Pedals,LL Road Pedal,17.9776,Silver/Black,PC-Components
360,BK-M68B-42,Mountain Bikes,"Mountain-200 Black, 42",1105.8100,Black,PC-Bikes
565,BK-T18U-54,Touring Bikes,"Touring-3000 Blue, 54",461.4448,Blue,PC-Bikes
571,BK-T18Y-58,Touring Bikes,"Touring-3000 Yellow, 58",461.4448,Yellow,PC-Bikes
587,BK-M38S-38,Mountain Bikes,"Mountain-400-W Silver, 38",419.7784,Silver,PC-Bikes
356,BK-M68S-46,Mountain Bikes,"Mountain-200 Silver, 46",1117.8559,Silver,PC-Bikes
599,BK-M18B-48,Mountain Bikes,"Mountain-500 Black, 48",294.5797,Black,PC-Bikes
490,SJ-0194-L,Jerseys,"Short-Sleeve Classic Jersey, L",41.5723,Yellow,PC-Clothing
568,BK-T18Y-44,Touring Bikes,"Touring-3000 Yellow, 44",461.4448,Yellow,PC-Bikes
426,FR-M63B-40,Mountain Frames,"ML Mountain Frame - Black, 40",185.8193,Black,PC-Components
535,TI-M267,Tires And Tubes,LL Mountain Tire,9.3463,NA,PC-Accessories
300,FR-M94B-48,Mountain Frames,"HL Mountain Frame - Black, 48",699.0928,Black,PC-Components
306,FR-M94B-38,Mountain Frames,"HL Mountain Frame - Black, 38",739.0410,Black,PC-Components
578,BK-T44U-50,Touring Bikes,"Touring-2000 Blue, 50",755.1508,Blue,PC-Bikes
467,GL-H102-L,Gloves,"Half-Finger Gloves, L",9.1593,Black,PC-Clothing
520,SE-R995,Saddles,HL Road Seat/Saddle,23.3722,NA,PC-Components
541,TI-T723,Tires And Tubes,Touring Tire,10.8423,NA,PC-Accessories
470,GL-F110-L,Gloves,"Full-Finger Gloves, L",15.6709,Black,PC-Clothing
354,BK-M68S-42,Mountain Bikes,"Mountain-200 Silver, 42",1117.8559,Silver,PC-Bikes
485,FE-6654,Fenders,Fender Set - Mountain,8.2205,NA,PC-Accessories
606,BK-R19B-52,Road Bikes,"Road-750 Black, 52",343.6496,Black,PC-Bikes
267,FR-R38R-52,Road Frames,"LL Road Frame - Red, 52",187.1571,Red,PC-Components
423,RW-R762,Wheels,ML Road Rear Wheel,122.2709,Black,PC-Components
457,TG-W091-M,Tights,"Women's Tights, M",30.9334,Black,PC-Clothing
381,BK-R64Y-38,Road Bikes,"Road-550-W Yellow, 38",605.6492,Yellow,PC-Bikes
527,FR-M21S-52,Mountain Frames,"LL Mountain Frame - Silver, 52",144.5938,Silver,PC-Components
430,FR-R72Y-40,Road Frames,"ML Road Frame-W - Yellow, 40",360.9428,Yellow,PC-Components
526,FR-M21S-48,Mountain Frames,"LL Mountain Frame - Silver, 48",144.5938,Silver,PC-Components
286,FR-R38B-52,Road Frames,"LL Road Frame - Black, 52",170.1428,Black,PC-Components
405,HB-R720,Handlebars,ML Road Handlebars,24.9932,NA,PC-Components
476,SH-W890-L,Shorts,"Women's Mountain Shorts, L",26.1763,Black,PC-Clothing
561,BK-T79Y-46,Touring Bikes,"Touring-1000 Yellow, 46",1481.9379,Yellow,PC-Bikes
248,FR-R92R-52,Road Frames,"HL Road Frame - Red, 52",722.2568,Red,PC-Components
335,BK-R50B-60,Road Bikes,"Road-650 Black, 60",486.7066,Black,PC-Bikes
348,BK-M82B-38,Mountain Bikes,"Mountain-100 Black, 38",1898.0944,Black,PC-Bikes
489,SJ-0194-M,Jerseys,"Short-Sleeve Classic Jersey, M",41.5723,Yellow,PC-Clothing
328,BK-R50R-48,Road Bikes,"Road-650 Red, 48",413.1463,Red,PC-Bikes
403,HB-R504,Handlebars,LL Road Handlebars,17.9780,NA,PC-Components
404,HB-R504,Handlebars,LL Road Handlebars,19.7758,NA,PC-Components
458,TG-W091-L,Tights,"Women's Tights, L",30.9334,Black,PC-Clothing
509,FR-T67Y-58,Touring Frames,"LL Touring Frame - Yellow, 58",199.8519,Yellow,PC-Components
268,FR-R38R-58,Road Frames,"LL Road Frame - Red, 58",181.4857,Red,PC-Components
525,FR-M21S-44,Mountain Frames,"LL Mountain Frame - Silver, 44",144.5938,Silver,PC-Components
427,FR-M63B-44,Mountain Frames,"ML Mountain Frame - Black, 44",185.8193,Black,PC-Components
228,LJ-0192-S,Jerseys,"Long-Sleeve Logo Jersey, S",38.4923,Multi,PC-Clothing
243,FR-R92R-44,Road Frames,"HL Road Frame - Red, 44",868.6342,Red,PC-Components
324,BK-R50R-62,Road Bikes,"Road-650 Red, 62",413.1463,Red,PC-Bikes
346,BK-M82S-44,Mountain Bikes,"Mountain-100 Silver, 44",1912.1544,Silver,PC-Bikes
576,BK-T79U-60,Touring Bikes,"Touring-1000 Blue, 60",1481.9379,Blue,PC-Bikes
210,FR-R92B-58,Road Frames,"HL Road Frame - Black, 58",,Black,PC-Components
211,FR-R92R-58,Road Frames,"HL Road Frame - Red, 58",,Red,PC-Components
